rep,id,Vmax_NAT,k_deg_FAAH,k_inh,FAAH_t,kcl_A,kcl_O,kcl_P,kcl_L,kcl_S,a_FAAH_A,a_FAAH_O,a_FAAH_P,a_FAAH_L,a_FAAH_S,a_NAT_A,a_NAT_O,a_NAT_P,a_NAT_L,a_NAT_S,DOSE
1,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
2,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
3,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
4,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
5,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
6,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
7,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
8,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
9,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
10,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
11,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
12,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
13,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
14,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
15,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
16,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
17,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
18,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
19,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
20,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
21,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
22,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
23,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
24,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
25,1,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,1
1,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
2,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
3,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
4,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
5,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
6,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
7,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
8,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
9,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
10,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
11,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
12,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
13,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
14,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
15,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
16,2,193.84,0.00983435,0.569458,135.988,1.01043,1.52135,1.52345,0.996502,2.22809e-16,1,6.55775,52.9919,0.875634,1,1,17.7842,0.540618,10.3801,1,10
