rep,id,eta_Vmax_NAT,eta_k_deg_FAAH,eta_k_inh,eta_FAAH_t,eta_kcl_A,eta_kcl_O,eta_kcl_P,eta_kcl_L,eta_kcl_S,eta_a_FAAH_A,eta_a_FAAH_O,eta_a_FAAH_P,eta_a_FAAH_L,eta_a_FAAH_S,eta_a_NAT_A,eta_a_NAT_O,eta_a_NAT_P,eta_a_NAT_L,eta_a_NAT_S,DOSE
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
